title,category,price_gbp,rating,in_stock,price_inr
Sharp Objects,Mystery,47.82,4,True,5045.01
"In a Dark, Dark Wood",Mystery,19.63,1,True,2070.96
The Past Never Ends,Mystery,56.5,4,True,5960.75
A Murder in Time,Mystery,16.64,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,4652.55
The Last Mile (Amos Decker #2),Mystery,54.21,2,True,5719.16
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,1127.79
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,5100.92
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,1765.02
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,5734.98
Most Wanted,Mystery,35.28,3,True,3722.04
Hide Away (Eve Duncan #20),Mystery,11.84,1,True,1249.12
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,6275.14
The Widow,Mystery,27.26,2,True,2875.93
Playing with Fire,Mystery,13.71,3,True,1446.41
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True,2676.54
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True,2203.9
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True,2616.4
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True,4049.09
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True,2431.78
The Exiled,Mystery,43.45,3,True,4583.98
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True,2026.66
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,True,2679.7
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,True,2607.96
